,Timestamp,Color,Quadrant
0,1,Yellow,1
1,1,White,1
2,2,Yellow,1
3,2,White,1
4,2,Yellow,1
5,2,White,1
6,2,Yellow,1
7,2,Yellow,3
8,2,Yellow,4
9,2,Yellow,3
10,2,Yellow,3
11,2,Yellow,3
12,2,Yellow,3
13,2,Yellow,3
14,2,Yellow,3
15,2,Yellow,3
16,2,Yellow,3
17,2,Yellow,3
18,2,Yellow,3
19,2,Yellow,3
20,2,Yellow,3
21,2,Yellow,3
22,2,Yellow,3
23,2,Yellow,3
24,2,Yellow,3
25,2,Yellow,3
26,2,Yellow,3
27,2,Yellow,3
28,2,Yellow,3
29,2,Yellow,3
30,2,Yellow,3
31,2,Yellow,3
32,2,Yellow,3
33,2,Yellow,3
34,2,Yellow,3
35,3,Yellow,3
36,3,Yellow,3
37,3,Yellow,3
38,3,Yellow,3
39,3,Yellow,3
40,3,Yellow,3
41,3,Yellow,3
42,3,Yellow,3
43,3,Yellow,3
44,3,Yellow,3
45,3,Yellow,3
46,3,Yellow,3
47,3,Yellow,3
48,3,Yellow,3
49,3,Yellow,3
50,3,Yellow,3
51,3,Yellow,3
52,3,Yellow,3
53,3,Yellow,3
54,3,Yellow,3
55,3,Yellow,3
56,3,Yellow,3
57,3,Yellow,3
58,3,Yellow,3
59,3,Yellow,3
60,3,Yellow,3
61,3,Yellow,3
62,3,Yellow,3
63,3,Yellow,3
64,3,Yellow,3
65,4,Yellow,3
66,4,Yellow,3
67,4,Yellow,3
68,4,Yellow,3
69,4,Yellow,3
70,4,Yellow,3
71,4,Yellow,3
72,4,Yellow,3
73,4,Yellow,3
74,4,Yellow,3
75,4,Yellow,1
76,4,Yellow,3
77,4,Yellow,3
78,4,Yellow,3
79,4,Yellow,2
80,4,Yellow,3
81,4,Yellow,2
82,4,Yellow,3
83,4,Yellow,2
84,4,Yellow,3
85,4,Yellow,3
86,4,Yellow,3
87,4,Yellow,3
88,4,Yellow,3
89,4,Yellow,3
90,4,Yellow,3
91,4,Yellow,3
